Name,Race
smith,white
johnson,white
williams,black
brown,white
jones,white
garcia,hispanic
miller,white
davis,white
rodriguez,hispanic
martinez,hispanic
hernandez,hispanic
lopez,hispanic
gonzalez,hispanic
wilson,white
anderson,white
thomas,white
taylor,white
moore,white
jackson,black
martin,white
lee,asian
perez,hispanic
thompson,white
white,white
harris,white
sanchez,hispanic
clark,white
ramirez,hispanic
lewis,white
robinson,white
walker,white
young,white
allen,white
king,white
wright,white
scott,white
torres,hispanic
nguyen,asian
hill,white
flores,hispanic
green,white
adams,white
nelson,white
baker,white
hall,white
rivera,hispanic
campbell,white
mitchell,white
carter,white
roberts,white
gomez,hispanic
phillips,white
evans,white
turner,white
diaz,hispanic
parker,white
cruz,hispanic
edwards,white
collins,white
reyes,hispanic
stewart,white
morris,white
morales,hispanic
murphy,white
cook,white
rogers,white
gutierrez,hispanic
ortiz,hispanic
morgan,white
cooper,white
peterson,white
bailey,white
reed,white
kelly,white
howard,white
ramos,hispanic
kim,asian
cox,white
ward,white
richardson,white
watson,white
brooks,white
chavez,hispanic
wood,white
james,white
bennett,white
gray,white
mendoza,hispanic
ruiz,hispanic
hughes,white
price,white
alvarez,hispanic
castillo,hispanic
sanders,white
patel,asian
myers,white
long,white
ross,white
foster,white
jimenez,hispanic
powell,white
jenkins,white
perry,white
russell,white
sullivan,white
bell,white
coleman,white
butler,white
henderson,white
barnes,white
gonzales,hispanic
fisher,white
vasquez,hispanic
simmons,white
romero,hispanic
jordan,white
patterson,white
alexander,white
hamilton,white
graham,white
reynolds,white
griffin,white
wallace,white
moreno,hispanic
west,white
cole,white
hayes,white
bryant,white
herrera,hispanic
gibson,white
ellis,white
tran,asian
medina,hispanic
aguilar,hispanic
stevens,white
murray,white
ford,white
castro,hispanic
marshall,white
owens,white
harrison,white
fernandez,hispanic
mcdonald,white
woods,white
washington,black
kennedy,white
wells,white
vargas,hispanic
henry,white
chen,asian
freeman,white
webb,white
tucker,white
guzman,hispanic
burns,white
crawford,white
olson,white
simpson,white
porter,white
hunter,white
gordon,white
mendez,hispanic
silva,hispanic
shaw,white
snyder,white
mason,white
dixon,white
munoz,hispanic
hunt,white
hicks,white
holmes,white
palmer,white
wagner,white
black,white
robertson,white
boyd,white
rose,white
stone,white
salazar,hispanic
fox,white
warren,white
mills,white
meyer,white
rice,white
schmidt,white
garza,hispanic
daniels,white
ferguson,white
nichols,white
stephens,white
soto,hispanic
weaver,white
ryan,white
gardner,white
payne,white
grant,white
dunn,white
kelley,white
spencer,white
hawkins,white
arnold,white
pierce,white
vazquez,hispanic
hansen,white
peters,white
santos,hispanic
hart,white
bradley,white
knight,white
elliott,white
cunningham,white
duncan,white
armstrong,white
hudson,white
carroll,white
lane,white
riley,white
andrews,white
alvarado,hispanic
ray,white
delgado,hispanic
berry,white
perkins,white
hoffman,white
johnston,white
matthews,white
pena,hispanic
richards,white
contreras,hispanic
willis,white
carpenter,white
lawrence,white
sandoval,hispanic
guerrero,hispanic
george,white
chapman,white
rios,hispanic
estrada,hispanic
ortega,hispanic
watkins,white
greene,white
nunez,hispanic
wheeler,white
valdez,hispanic
harper,white
burke,white
larson,white
santiago,hispanic
maldonado,hispanic
morrison,white
franklin,white
carlson,white
austin,white
dominguez,hispanic
carr,white
lawson,white
jacobs,white
obrien,white
lynch,white
singh,asian
vega,hispanic
bishop,white
montgomery,white
oliver,white
jensen,white
harvey,white
williamson,white
gilbert,white
dean,white
sims,white
espinoza,hispanic
howell,white
li,asian
wong,asian
reid,white
hanson,white
le,asian
mccoy,white
garrett,white
burton,white
fuller,white
wang,asian
weber,white
welch,white
rojas,hispanic
lucas,white
marquez,hispanic
fields,white
park,asian
yang,asian
little,white
banks,black
padilla,hispanic
day,white
walsh,white
bowman,white
schultz,white
luna,hispanic
fowler,white
mejia,hispanic
davidson,white
acosta,hispanic
brewer,white
may,white
holland,white
juarez,hispanic
newman,white
pearson,white
curtis,white
cortez,hispanic
douglas,white
schneider,white
joseph,black
barrett,white
navarro,hispanic
figueroa,hispanic
keller,white
avila,hispanic
wade,white
molina,hispanic
stanley,white
hopkins,white
campos,hispanic
barnett,white
bates,white
chambers,white
caldwell,white
beck,white
lambert,white
miranda,hispanic
byrd,white
craig,white
ayala,hispanic
lowe,white
frazier,white
powers,white
neal,white
leonard,white
gregory,white
carrillo,hispanic
sutton,white
fleming,white
rhodes,white
shelton,white
schwartz,white
norris,white
jennings,white
watts,white
duran,hispanic
walters,white
cohen,white
mcdaniel,white
moran,white
parks,white
steele,white
vaughn,white
becker,white
holt,white
deleon,hispanic
